"Code","dist_nearest_school","pred_ntl_antilog","pred_ndvi","geometry"
"R213",318.124464391642,14.041823008093,0.619298142875657,c(121.1629802, 13.9547918)
"R214",318.131080985727,14.0418482135803,0.619298854002533,c(121.1629803, 13.9547918)
"R215",386.814673202348,17.8618806717523,0.694761847277706,c(121.1511875, 13.9423125)
"R216",350.082602878042,18.2762353751917,0.625841950662277,c(121.1580156, 13.9493625)
"R217",306.48994217362,12.5668535063852,0.858575271369369,c(121.1379375, 13.9425625)
"R218",458.770186143649,7.25751418087507,0.872655280779222,c(121.1428281, 13.9381875)
"R219",193.208883525757,15.326743418526,0.638434443706367,c(121.1590469, 13.9522375)
"R220",762.747123601024,8.80232473149044,0.680420728138356,c(121.1261406, 13.9405125)
"R221",218.217650393299,19.3955761735703,0.615056944951442,c(121.1549844, 13.9462125)
"R222",499.83855750876,18.7143917611191,0.613261378062801,c(121.1568906, 13.9480125)
"R223",368.130448771489,14.604891038771,0.625322340976622,c(121.1632656, 13.9544375)
"R224",112.010373868993,18.9742383242063,0.635896416169174,c(121.1533125, 13.9443125)
"R225",1309.77467042181,7.15708747743631,0.672190686705252,c(121.1696875, 13.9265625)
"R226",320.034625569331,19.4774740200979,0.670097656649998,c(121.1523125, 13.9425625)
"R227",387.313840598795,14.7308543890267,0.627662487140504,c(121.1634219, 13.9543375)
"R228",1479.86743454192,9.0418514758855,0.825905905898624,c(121.1108125, 13.9291875)
"R229",484.58736419441,13.0392607695523,0.638772987391868,c(121.1654375, 13.9556875)
"R230",1517.97291514303,5.42312626602765,0.632159111877381,c(121.1461875, 13.9604375)
"R231",703.549353061624,8.56731368358677,0.698285153607586,c(121.1270625, 13.9403125)
"R232",355.106169216963,16.9173124592818,0.6974475867278,c(121.1508125, 13.9425625)
"R233",426.383874306959,14.7059599991012,0.632811594427448,c(121.1639375, 13.9543125)
"R234",929.058061502605,8.25923604549508,0.793616032344739,c(121.1720625, 13.9336875)
"R235",243.634396742868,12.6148123559057,0.706609649462416,c(121.1649844, 13.9350125)
"R236",406.746733385212,15.2377064035421,0.629836598792062,c(121.1631875, 13.9539375)
"R237",285.203503243371,14.2021428036415,0.67157753403282,c(121.1508125, 13.9441875)
"R238",966.379289257875,7.94126200926741,0.764390884052766,c(121.1481406, 13.9752875)
"R239",320.233891637088,13.8647653316756,0.619283197156274,c(121.1631875, 13.9549375)
"R240",379.793767777452,14.59999389949,0.626765791210778,c(121.1634375, 13.9544375)
"R241",412.584728867861,15.0637638532915,0.6305722288509,c(121.1634375, 13.9540625)
"R242",412.584728867861,15.0637638532915,0.6305722288509,c(121.1634375, 13.9540625)
"R243",359.692286401336,9.71782433849462,0.822415118982116,c(121.1343594, 13.9429125)
"R244",298.687084134188,9.05447398858132,0.812727710098163,c(121.1334844, 13.9427875)
"R245",332.731784473147,14.2234009174517,0.621057246887621,c(121.1630625, 13.9546875)
"R246",318.137697810118,14.0418734141417,0.619299565182721,c(121.1629804, 13.9547918)
"R247",112.007243343901,8.63959080967432,0.790767651125724,c(121.1326406, 13.9444875)
"R248",418.287866617082,14.2447293634569,0.6318772487403,c(121.1641875, 13.9546875)
"R249",207.607517490451,22.7161632376883,0.734105497278297,c(121.1695625, 14.0078125)
"R250",700.430786956988,8.82931864056266,0.565207459560111,c(121.1657969, 13.9636875)
"R251",519.336577304649,16.1155045395511,0.676822526283619,c(121.1653125, 13.9505625)
"R252",510.942893049487,16.2129234602118,0.676496534630557,c(121.1651719, 13.9502625)
"R253",785.551007380457,8.26460014049761,0.576141761668704,c(121.1655625, 13.9626875)
"R254",279.86998184527,6.63084411982632,0.636905946282348,c(121.1210625, 13.9430625)
"R255",246.20216314784,6.30596102794552,0.638885942025372,c(121.1209844, 13.9433625)
"R256",426.332896098254,14.546615227182,0.632916705406437,c(121.1640625, 13.9544375)
"R257",356.72421435773,15.7858289578452,0.692146358964156,c(121.1506094, 13.9430625)
"R258",313.649970693063,19.8347303503119,0.633011627362661,c(121.1607656, 13.9407125)
"R259",58.1081116092122,16.2109913675017,0.700725929468796,c(121.1648125, 13.9410625)
