longitude,latitude,NDVI,NDVI_rescaled,red_reflectance,NIR_reflectance,NDVI_calculated
121.1083919,13.95208333,8900,0.89,189,3249,0.890052356
121.1255652,13.95208333,7510,0.751,598,4207,0.751092612
121.1298586,13.95208333,6691,0.6691,708,3572,0.669158879
121.1341519,13.95208333,5865,0.5865,693,2659,0.586515513
121.1384452,13.95208333,7938,0.7938,238,2071,0.793850152
121.1427385,13.95208333,7456,0.7456,534,3665,0.745653727
121.1470319,13.95208333,8044,0.8044,282,2602,0.80443828
121.1513252,13.95208333,7819,0.7819,291,2378,0.781940802
121.1556185,13.95208333,7761,0.7761,325,2579,0.776170799
121.1599119,13.95208333,6347,0.6347,442,1978,0.634710744
121.1642052,13.95208333,6515,0.6515,439,2081,0.651587302
121.1684985,13.95208333,7073,0.7073,376,2194,0.707392996
121.1727919,13.95208333,7563,0.7563,333,2400,0.756311745
121.1770852,13.95208333,8637,0.8637,215,2940,0.863708399
121.1813785,13.95208333,8251,0.8251,266,2776,0.825115056
121.1856718,13.95208333,8380,0.838,246,2792,0.83805135
121.1899652,13.95208333,7807,0.7807,489,3971,0.780717489
121.1942585,13.95208333,8191,0.8191,433,4356,0.819168929
121.1985518,13.95208333,9658,0.9658,58,3335,0.965811966
121.2028452,13.95208333,7512,0.7512,510,3591,0.751280176
121.2071385,13.95208333,7779,0.7779,509,4075,0.777923211
121.2114318,13.95208333,8459,0.8459,374,4480,0.845900288
121.2157252,13.95208333,7999,0.7999,479,4309,0.799916458
121.2200185,13.95208333,8578,0.8578,353,4614,0.857861888
121.2243118,13.95208333,9023,0.9023,232,4518,0.902315789
121.2286051,13.95208333,9345,0.9345,163,4817,0.934538153
121.2328985,13.95208333,9497,0.9497,119,4622,0.94979962
121.2371918,13.95208333,9427,0.9427,126,4275,0.942740286
121.2414851,13.95208333,9777,0.9777,50,4452,0.97778765
121.0718582,13.94791667,7922,0.7922,462,3986,0.792266187
121.0761514,13.94791667,8120,0.812,478,4608,0.812033032
121.0804447,13.94791667,8624,0.8624,350,4740,0.862475442
121.0847379,13.94791667,8198,0.8198,439,4434,0.819823517
121.0890312,13.94791667,8319,0.8319,378,4121,0.831962658
121.0933244,13.94791667,8172,0.8172,402,3997,0.817231189
121.0976177,13.94791667,8359,0.8359,324,3627,0.835990888
121.1019109,13.94791667,8239,0.8239,452,4682,0.823918972
121.1062042,13.94791667,8936,0.8936,147,2617,0.893632417
121.1104974,13.94791667,8831,0.8831,276,4449,0.883174603
121.1233772,13.94791667,7832,0.7832,372,3061,0.78327993
121.1276705,13.94791667,8775,0.8775,139,2131,0.87753304
121.1319637,13.94791667,7081,0.7081,408,2388,0.708154506
121.136257,13.94791667,6906,0.6906,472,2580,0.690694626
121.1405502,13.94791667,7991,0.7991,272,2437,0.799187892
121.1448435,13.94791667,7300,0.73,315,2019,0.730077121
121.1491367,13.94791667,6177,0.6177,507,2146,0.61779118
121.15343,13.94791667,5939,0.5939,510,2002,0.593949045
121.1577232,13.94791667,5661,0.5661,507,1830,0.566110398
121.1620165,13.94791667,6718,0.6718,380,1936,0.671848014
121.1663097,13.94791667,7007,0.7007,359,2040,0.700708629
121.170603,13.94791667,7780,0.778,264,2115,0.778058008
121.1748962,13.94791667,9008,0.9008,151,2895,0.900853578
121.1791895,13.94791667,8653,0.8653,218,3020,0.865348981
121.1834827,13.94791667,8837,0.8837,190,3079,0.8837565
121.187776,13.94791667,9273,0.9273,119,3157,0.927350427
121.1920692,13.94791667,9277,0.9277,118,3148,0.927740355
121.1963625,13.94791667,9106,0.9106,140,2992,0.910600255
121.2006557,13.94791667,9658,0.9658,58,3335,0.965811966
121.204949,13.94791667,8612,0.8612,223,2992,0.861275272
121.2092422,13.94791667,8605,0.8605,343,4576,0.86054076
121.2135355,13.94791667,8131,0.8131,457,4434,0.81312615
121.2178288,13.94791667,8575,0.8575,368,4800,0.857585139
121.222122,13.94791667,8555,0.8555,329,4226,0.855543359
121.2264153,13.94791667,9086,0.9086,245,5118,0.908633228
121.2307085,13.94791667,9283,0.9283,181,4869,0.928316832
121.2350018,13.94791667,9287,0.9287,183,4957,0.928793774
121.239295,13.94791667,9217,0.9217,207,5087,0.921798262
121.0653786,13.94375,7494,0.7494,495,3456,0.749430524
121.0696718,13.94375,9424,0.9424,135,4554,0.942418426
121.073965,13.94375,9644,0.9644,82,4525,0.964401997
121.0782582,13.94375,9803,0.9803,40,4032,0.980353635
121.0825513,13.94375,8956,0.8956,224,4070,0.895668374
121.0868445,13.94375,8798,0.8798,296,4633,0.879894502
121.0911377,13.94375,6202,0.6202,676,2884,0.620224719
121.0954309,13.94375,6178,0.6178,343,1452,0.617827298
121.099724,13.94375,7385,0.7385,458,3045,0.738509849
121.1040172,13.94375,8460,0.846,329,3946,0.846081871
121.1083104,13.94375,5191,0.5191,1279,4041,0.519172932
121.1126036,13.94375,7247,0.7247,491,3077,0.724775785
121.1168967,13.94375,7309,0.7309,641,4124,0.730954879
121.1211899,13.94375,5392,0.5392,811,2709,0.539204545
121.1254831,13.94375,7467,0.7467,397,2738,0.746730463
121.1297762,13.94375,8047,0.8047,304,2810,0.80475273
121.1340694,13.94375,8408,0.8408,242,2800,0.840894149
121.1383626,13.94375,8536,0.8536,135,1710,0.853658537
121.1426558,13.94375,8733,0.8733,134,1982,0.873345936
121.1469489,13.94375,7447,0.7447,288,1969,0.744793974
121.1512421,13.94375,6134,0.6134,443,1849,0.613438045
121.1555353,13.94375,5894,0.5894,443,1715,0.589434662
121.1598285,13.94375,5115,0.5115,496,1535,0.511570655
121.1641216,13.94375,5884,0.5884,427,1648,0.588433735
121.1684148,13.94375,8166,0.8166,180,1783,0.816607234
121.172708,13.94375,8825,0.8825,135,2163,0.882506527
121.1770012,13.94375,8694,0.8694,203,2907,0.869453376
121.1812943,13.94375,8692,0.8692,193,2760,0.869285472
121.1855875,13.94375,9026,0.9026,161,3145,0.902601331
121.1898807,13.94375,9527,0.9527,81,3348,0.952755906
121.1941739,13.94375,9390,0.939,109,3470,0.939089131
121.198467,13.94375,9883,0.9883,21,3570,0.988304094
121.2027602,13.94375,9883,0.9883,21,3570,0.988304094
121.2070534,13.94375,8712,0.8712,263,3823,0.871267744
121.2113466,13.94375,8716,0.8716,289,4215,0.871669627
121.2156397,13.94375,8738,0.8738,315,4681,0.873899119
121.2199329,13.94375,8601,0.8601,366,4870,0.860198625
121.2242261,13.94375,9321,0.9321,140,3988,0.932170543
121.2285193,13.94375,8786,0.8786,324,5018,0.878697117
121.2328124,13.94375,9243,0.9243,219,5569,0.924326192
121.2371056,13.94375,9182,0.9182,206,4832,0.918221516
121.0674862,13.93958333,9607,0.9607,96,4794,0.960736196
121.0717792,13.93958333,9180,0.918,203,4749,0.918012924
121.0760723,13.93958333,8373,0.8373,450,5084,0.837368992
121.0803654,13.93958333,9127,0.9127,213,4668,0.912722803
121.0846585,13.93958333,9435,0.9435,132,4545,0.94355356
121.0889516,13.93958333,5651,0.5651,769,2768,0.565168222
121.0932447,13.93958333,6202,0.6202,676,2884,0.620224719
121.0975378,13.93958333,2347,0.2347,2565,4139,0.234785203
121.1018309,13.93958333,4048,0.4048,1436,3390,0.404890178
121.106124,13.93958333,7951,0.7951,471,4127,0.795128317
121.1104171,13.93958333,5131,0.5131,1339,4162,0.513179422
121.1147102,13.93958333,7028,0.7028,670,3840,0.702882483
121.1190033,13.93958333,5392,0.5392,811,2709,0.539204545
121.1232964,13.93958333,5392,0.5392,811,2709,0.539204545
121.1275895,13.93958333,7527,0.7527,387,2744,0.752794634
121.1318826,13.93958333,7785,0.7785,390,3133,0.778597786
121.1361757,13.93958333,9223,0.9223,129,3193,0.922335942
121.1404688,13.93958333,9769,0.9769,35,2996,0.976905312
121.1447619,13.93958333,9193,0.9193,84,2000,0.919385797
121.149055,13.93958333,8344,0.8344,150,1662,0.834437086
121.1533481,13.93958333,6826,0.6826,317,1681,0.682682683
